complaint_text,category
Report: clerk behavior keeps crashing at town hall.,Healthcare
bridge support is gushing water on the main highway.,Infrastructure
The parade is very nice today.,General
clerk behavior keeps crashing on the government portal.,Administration
gang fighting is extremely scary near Birendra Chowk.,Public Safety
water pipe leak needs urgent repair on the main highway.,Infrastructure
street lights is breaking apart at the intersection.,Infrastructure
tax documents keeps crashing at town hall.,Administration
Report: passport processing requested a bribe on the government portal.,Administration
street lights is dangerous for cars at the intersection.,Infrastructure
traffic signal is gushing water near the square.,Infrastructure
blood pressure is dangerously low in the medical ward.,Healthcare
Report: heart rate is dropping fast at the city hospital.,Healthcare
recycling bin is leaking into drains near the park.,Sanitation
The parade looks beautiful in the park.,General
clerk behavior is full of errors at city hall.,Administration
clerk behavior is stuck for months on the government portal.,Administration
Website layout is interesting this morning.,General
Website layout is a great event in the park.,General
Community festival is helpful for everyone.,General
official website is being delayed on the government portal.,Administration
illegal racing is out of control at the train station.,Healthcare
pothole on road is gushing water at the intersection.,Infrastructure
clinic hygiene needs a doctor immediately at the city hospital.,Healthcare
theft in progress reported last night outside the mall.,Public Safety
Community festival is interesting this morning.,General
heart rate is out of stock at the ER.,Healthcare
street lights is crumbling near the square.,Infrastructure
Attention: suspicious loitering is out of control near Birendra Chowk.,Public Safety
traffic signal is dangerous for cars at the intersection.,Infrastructure
blood pressure is critical condition at the city hospital.,Healthcare
Attention: cracked sidewalk is dangerous for cars in the downtown area.,Infrastructure
pothole on road is crumbling near the square.,Infrastructure
birth certificate is being delayed in the records office.,Administration
Attention: suspicious loitering is extremely scary in the community park.,Public Safety
The parade is very nice today.,General
Urgent: suspicious loitering is out of control at the train station.,Public Safety
suspicious loitering is a threat to life at the train station.,Public Safety
Attention: official website is full of errors on the government portal.,Administration
clinic hygiene is out of stock in the medical ward.,Healthcare
Urgent: garbage pile is leaking into drains in the residential alley.,Sanitation
Urgent: The parade is very nice for everyone.,General
trash accumulation is overflowing onto street near the park.,Sanitation
Report: ambulance response is dangerously low at the city hospital.,Healthcare
birth certificate is being delayed in the records office.,Administration
illegal dumping is rotting and stinking in the residential alley.,Sanitation
tax documents is full of errors at town hall.,Administration
illegal dumping is overflowing onto street near the park.,Sanitation
gunshots fired is extremely scary outside the mall.,Public Safety
garbage pile is leaking into drains behind the school.,Sanitation
raw sewage is rotting and stinking in the residential alley.,Sanitation
passport processing is being delayed at city hall.,Administration
suspicious loitering is a threat to life outside the mall.,Public Safety
Attention: clinic hygiene needs a doctor immediately at the ER.,Healthcare
gang fighting is out of control near Birendra Chowk.,Public Safety
Urgent: birth certificate keeps crashing in the records office.,Administration
Urgent: Website layout is a great event in the park.,General
official website is stuck for months on the government portal.,Administration
Report: traffic signal needs urgent repair at the intersection.,Infrastructure
Community festival is interesting today.,General
street lights is gushing water near the square.,Infrastructure
bridge support is crumbling at the intersection.,Infrastructure
pothole on road is gushing water at the intersection.,Infrastructure
dead animal carcass is overflowing onto street in the residential alley.,Sanitation
official website is stuck for months at city hall.,Administration
clerk behavior requested a bribe at town hall.,Administration
garbage pile is attracting rats behind the school.,Sanitation
Community festival is helpful today.,General
clinic hygiene is dropping fast at the city hospital.,Healthcare
illegal racing happened just now outside the mall.,Public Safety
theft in progress is extremely scary outside the mall.,Public Safety
suspicious loitering happened just now outside the mall.,Public Safety
Report: illegal racing is out of control in the community park.,Public Safety
Website layout is a great event this morning.,General
violent kidnapping happened just now in the community park.,Public Safety
illegal racing is a threat to life near Birendra Chowk.,Public Safety
violent kidnapping reported last night outside the mall.,Public Safety
gang fighting is extremely scary outside the mall.,Public Safety
Urgent: gunshots fired reported last night at the train station.,Public Safety
recycling bin is leaking into drains in the residential alley.,Sanitation
tax documents is stuck for months at town hall.,Administration
clinic hygiene is dangerously low near the health clinic.,Healthcare
official website requested a bribe in the records office.,Administration
tax documents keeps crashing at city hall.,Administration
illegal racing happened just now near Birendra Chowk.,Public Safety
recycling bin is leaking into drains behind the school.,Sanitation
Attention: water pipe leak is crumbling in the downtown area.,Infrastructure
raw sewage is overflowing onto street behind the school.,Sanitation
Urgent: theft in progress is a threat to life in the community park.,Public Safety
Attention: ambulance response is critical condition in the medical ward.,Healthcare
garbage pile is attracting rats behind the school.,Sanitation
Attention: water pipe leak is dangerous for cars in the downtown area.,Infrastructure
Report: bridge support is breaking apart on the main highway.,Infrastructure
illegal racing reported last night in the community park.,Public Safety
violent kidnapping is extremely scary in the community park.,Public Safety
street lights is crumbling on the main highway.,Infrastructure
recycling bin is rotting and stinking near the park.,Sanitation
water pipe leak is crumbling on the main highway.,Infrastructure
dead animal carcass is overflowing onto street in the residential alley.,Sanitation
raw sewage is rotting and stinking outside my house.,Sanitation
Urgent: Website layout is very nice this morning.,General
recycling bin is attracting rats behind the school.,Sanitation
blood pressure is dangerously low at the city hospital.,Healthcare
blood pressure is dropping fast near the health clinic.,Healthcare
medical emergency is dropping fast at the ER.,Healthcare
Website layout is interesting today.,General
suspicious loitering happened just now near Birendra Chowk.,Public Safety
illegal dumping is rotting and stinking behind the school.,Sanitation
Website layout is very nice today.,General
recycling bin is leaking into drains near the park.,Sanitation
passport processing is full of errors at town hall.,Administration
Report: garbage pile is overflowing onto street behind the school.,Sanitation
The parade looks beautiful in the park.,General
traffic signal is breaking apart near the square.,Infrastructure
Report: medical emergency is critical condition in the medical ward.,Healthcare
The parade is interesting this morning.,General
Urgent: birth certificate requested a bribe on the government portal.,Administration
Website layout is helpful in the park.,General
illegal dumping is rotting and stinking in the residential alley.,Sanitation
Urgent: gunshots fired reported last night at the train station.,Public Safety
Urgent: illegal racing is out of control at the train station.,Public Safety
Report: cracked sidewalk is gushing water in the downtown area.,Infrastructure
tax documents keeps crashing at town hall.,Healthcare
Attention: medical emergency needs a doctor immediately in the medical ward.,Healthcare
Report: raw sewage is leaking into drains behind the school.,Sanitation
Urgent: The parade is a great event for everyone.,General
The weather is interesting today.,General
heart rate is out of stock near the health clinic.,Healthcare
The weather looks beautiful today.,General
violent kidnapping is a threat to life outside the mall.,Public Safety
traffic signal is dangerous for cars on the main highway.,Infrastructure
Attention: medical emergency is dropping fast in the medical ward.,Healthcare
blood pressure is out of stock near the health clinic.,Healthcare
permit application is full of errors at city hall.,Administration
violent kidnapping is out of control at the train station.,Public Safety
recycling bin is overflowing onto street near the park.,Sanitation
Report: blood pressure is critical condition at the city hospital.,Healthcare
suspicious loitering happened just now at the train station.,Public Safety
garbage pile is attracting rats behind the school.,Sanitation
street lights is dangerous for cars at the intersection.,Infrastructure
traffic signal needs urgent repair in the downtown area.,Infrastructure
permit application requested a bribe in the records office.,Administration
Urgent: The weather is interesting for everyone.,General
passport processing is stuck for months in the records office.,Administration
insulin stock is dangerously low near the health clinic.,Healthcare
violent kidnapping is out of control in the community park.,Public Safety
gunshots fired is extremely scary at the train station.,Public Safety
tax documents is stuck for months at city hall.,Administration
The weather is interesting today.,General
theft in progress is extremely scary outside the mall.,Public Safety
traffic signal is dangerous for cars at the intersection.,Infrastructure
raw sewage is rotting and stinking near the park.,Sanitation
City gardens is helpful in the park.,General
recycling bin is overflowing onto street outside my house.,Sanitation
illegal racing happened just now in the community park.,Public Safety
medical emergency is dropping fast at the city hospital.,Healthcare
Report: clerk behavior is full of errors at town hall.,Administration
Website layout looks beautiful for everyone.,General
City gardens is very nice this morning.,General
Attention: Community festival is helpful for everyone.,General
Community festival is very nice in the park.,General
permit application is full of errors on the government portal.,Administration
medical emergency needs a doctor immediately at the ER.,Healthcare
Urgent: suspicious loitering is a threat to life in the community park.,Public Safety
theft in progress is a threat to life at the train station.,Public Safety
Urgent: street lights is dangerous for cars on the main highway.,Infrastructure
Urgent: The weather looks beautiful today.,General
recycling bin is leaking into drains behind the school.,Sanitation
water pipe leak is gushing water at the intersection.,Infrastructure
bridge support is gushing water at the intersection.,Infrastructure
traffic signal is crumbling at the intersection.,Infrastructure
cracked sidewalk is gushing water near the square.,Infrastructure
The weather is a great event for everyone.,General
theft in progress is a threat to life in the community park.,Public Safety
birth certificate is being delayed at city hall.,Administration
recycling bin is attracting rats outside my house.,Sanitation
Attention: suspicious loitering is out of control at the train station.,Public Safety
Report: water pipe leak is crumbling on the main highway.,Infrastructure
suspicious loitering reported last night outside the mall.,Public Safety
gang fighting is a threat to life in the community park.,Public Safety
street lights is gushing water near the square.,Infrastructure
Attention: suspicious loitering is extremely scary near Birendra Chowk.,Public Safety
heart rate is critical condition at the ER.,Healthcare
traffic signal is gushing water at the intersection.,Infrastructure
medical emergency is dropping fast near the health clinic.,Infrastructure
bridge support is dangerous for cars at the intersection.,Infrastructure
street lights is dangerous for cars near the square.,Infrastructure
recycling bin is overflowing onto street in the residential alley.,Sanitation
Urgent: gunshots fired is a threat to life at the train station.,Public Safety
Attention: bridge support is crumbling in the downtown area.,Infrastructure
Urgent: traffic signal is dangerous for cars on the main highway.,Infrastructure
garbage pile is rotting and stinking outside my house.,Sanitation
gunshots fired is out of control in the community park.,Public Safety
clerk behavior requested a bribe at city hall.,Administration
Report: The parade is helpful today.,General
theft in progress reported last night near Birendra Chowk.,Public Safety
raw sewage is rotting and stinking outside my house.,Sanitation
Report: permit application is being delayed at town hall.,Administration
blood pressure is critical condition at the city hospital.,Healthcare
clerk behavior is being delayed in the records office.,Administration
permit application is stuck for months on the government portal.,Administration
Report: ambulance response is dangerously low at the city hospital.,Healthcare
passport processing is full of errors on the government portal.,Administration
birth certificate keeps crashing on the government portal.,Administration
Report: Community festival is a great event in the park.,Healthcare
permit application is full of errors at town hall.,Administration
dead animal carcass is overflowing onto street outside my house.,Sanitation
Urgent: trash accumulation is leaking into drains near the park.,Sanitation
Report: ambulance response is dropping fast at the ER.,Infrastructure
birth certificate is being delayed at city hall.,Administration
illegal racing reported last night near Birendra Chowk.,Public Safety
clinic hygiene is dangerously low at the ER.,Healthcare
Report: traffic signal is gushing water on the main highway.,Infrastructure
gunshots fired reported last night outside the mall.,Public Safety
Attention: permit application keeps crashing at town hall.,Administration
Attention: street lights is breaking apart in the downtown area.,Infrastructure
violent kidnapping is a threat to life outside the mall.,Public Safety
Urgent: gang fighting reported last night near Birendra Chowk.,Public Safety
tax documents requested a bribe at city hall.,Administration
passport processing is stuck for months at town hall.,Administration
tax documents is full of errors at city hall.,Administration
The weather is very nice today.,General
The weather is interesting for everyone.,General
cracked sidewalk is breaking apart on the main highway.,Infrastructure
Urgent: gang fighting is extremely scary at the train station.,Public Safety
heart rate is dropping fast in the medical ward.,Healthcare
gang fighting is extremely scary outside the mall.,Public Safety
Report: City gardens is very nice in the park.,General
permit application is full of errors at town hall.,Administration
recycling bin is rotting and stinking outside my house.,Sanitation
passport processing is being delayed at city hall.,Administration
Community festival is helpful for everyone.,General
Community festival is very nice today.,General
passport processing is being delayed in the records office.,Administration
Community festival is very nice for everyone.,General
Report: Website layout looks beautiful today.,General
violent kidnapping is a threat to life near Birendra Chowk.,Public Safety
official website is stuck for months at city hall.,Administration
gang fighting reported last night outside the mall.,Public Safety
City gardens is a great event today.,General
Report: water pipe leak needs urgent repair at the intersection.,Infrastructure
blood pressure is critical condition at the city hospital.,Healthcare
The parade is helpful for everyone.,General
clerk behavior is stuck for months at city hall.,Administration
Report: traffic signal is crumbling in the downtown area.,Infrastructure
gunshots fired is extremely scary in the community park.,Public Safety
illegal dumping is leaking into drains in the residential alley.,Sanitation
theft in progress happened just now near Birendra Chowk.,Public Safety
City gardens is helpful today.,General
Urgent: gang fighting is a threat to life in the community park.,Public Safety
insulin stock is out of stock at the ER.,Healthcare
Urgent: The weather is interesting today.,General
ambulance response is dangerously low in the medical ward.,Healthcare
violent kidnapping is a threat to life outside the mall.,Public Safety
dead animal carcass is leaking into drains behind the school.,Sanitation
official website is being delayed on the government portal.,Administration
Attention: medical emergency needs a doctor immediately near the health clinic.,Healthcare
Urgent: garbage pile is leaking into drains behind the school.,Sanitation
insulin stock is critical condition at the city hospital.,Healthcare
Urgent: tax documents requested a bribe at town hall.,Administration
The parade is a great event for everyone.,General
Report: passport processing requested a bribe at town hall.,Administration
suspicious loitering happened just now near Birendra Chowk.,Public Safety
theft in progress is a threat to life outside the mall.,Public Safety
Attention: dead animal carcass is leaking into drains near the park.,Sanitation
medical emergency is critical condition in the medical ward.,Healthcare
Urgent: gunshots fired happened just now in the community park.,Public Safety
The weather is interesting in the park.,General
traffic signal needs urgent repair on the main highway.,Infrastructure
raw sewage is rotting and stinking near the park.,Sanitation
clerk behavior keeps crashing on the government portal.,Administration
passport processing is full of errors at town hall.,Administration
Report: The parade is interesting in the park.,General
medical emergency is critical condition in the medical ward.,Healthcare
Urgent: street lights is gushing water in the downtown area.,Infrastructure
City gardens is very nice for everyone.,General
Report: recycling bin is attracting rats behind the school.,Sanitation
Urgent: City gardens is a great event for everyone.,General
Report: cracked sidewalk needs urgent repair on the main highway.,Infrastructure
suspicious loitering reported last night at the train station.,Public Safety
clerk behavior is full of errors on the government portal.,Administration
Urgent: heart rate is dropping fast at the city hospital.,Healthcare
blood pressure is critical condition at the ER.,Healthcare
official website is full of errors at town hall.,Administration
Website layout is a great event this morning.,General
gang fighting is extremely scary outside the mall.,Public Safety
Urgent: passport processing is stuck for months in the records office.,Administration
raw sewage is attracting rats in the residential alley.,Sanitation
trash accumulation is attracting rats outside my house.,Sanitation
traffic signal is breaking apart on the main highway.,Infrastructure
Report: birth certificate is being delayed at city hall.,Administration
Urgent: City gardens looks beautiful in the park.,General
violent kidnapping is a threat to life near Birendra Chowk.,Public Safety
Report: clinic hygiene is critical condition near the health clinic.,Healthcare
recycling bin is overflowing onto street in the residential alley.,Sanitation
Attention: insulin stock is out of stock at the city hospital.,Healthcare
Attention: gunshots fired happened just now outside the mall.,Public Safety
Urgent: clerk behavior requested a bribe at city hall.,Administration
Report: trash accumulation is rotting and stinking near the park.,Sanitation
birth certificate keeps crashing at town hall.,Administration
Report: blood pressure is out of stock near the health clinic.,Healthcare
permit application is full of errors at town hall.,Administration
water pipe leak is gushing water near the square.,Infrastructure
Urgent: illegal racing reported last night in the community park.,Public Safety
Attention: street lights is crumbling in the downtown area.,Infrastructure
Report: permit application is full of errors on the government portal.,Administration
Attention: tax documents keeps crashing in the records office.,Administration
passport processing keeps crashing on the government portal.,Administration
clinic hygiene is critical condition at the city hospital.,Healthcare
permit application keeps crashing at town hall.,Administration
birth certificate keeps crashing in the records office.,Administration
medical emergency is out of stock at the ER.,Healthcare
Attention: ambulance response is critical condition near the health clinic.,Healthcare
water pipe leak is crumbling on the main highway.,Infrastructure
blood pressure is dangerously low near the health clinic.,Healthcare
Urgent: official website is stuck for months in the records office.,Administration
clerk behavior requested a bribe in the records office.,Administration
Urgent: street lights is gushing water at the intersection.,Infrastructure
illegal dumping is attracting rats in the residential alley.,Sanitation
pothole on road is crumbling on the main highway.,Infrastructure
pothole on road is gushing water on the main highway.,Infrastructure
garbage pile is overflowing onto street behind the school.,Sanitation
blood pressure is dropping fast at the city hospital.,Healthcare
Attention: street lights needs urgent repair near the square.,Infrastructure
Report: City gardens is very nice for everyone.,General
suspicious loitering happened just now at the train station.,Public Safety
The parade is interesting today.,General
Report: trash accumulation is attracting rats behind the school.,Sanitation
blood pressure is critical condition in the medical ward.,Healthcare
Urgent: suspicious loitering is a threat to life outside the mall.,Public Safety
gang fighting is a threat to life near Birendra Chowk.,Public Safety
raw sewage is leaking into drains outside my house.,Sanitation
official website keeps crashing on the government portal.,Administration
illegal racing is a threat to life in the community park.,Public Safety
violent kidnapping happened just now near Birendra Chowk.,Public Safety
Urgent: dead animal carcass is leaking into drains outside my house.,Sanitation
recycling bin is attracting rats behind the school.,Sanitation
The weather is very nice for everyone.,General
Attention: illegal dumping is rotting and stinking near the park.,Sanitation
Attention: trash accumulation is leaking into drains behind the school.,Sanitation
Urgent: gang fighting is a threat to life outside the mall.,Public Safety
official website requested a bribe at town hall.,Administration
recycling bin is leaking into drains near the park.,Sanitation
insulin stock is critical condition at the city hospital.,Healthcare
Report: medical emergency needs a doctor immediately in the medical ward.,Healthcare
suspicious loitering is a threat to life outside the mall.,Public Safety
violent kidnapping happened just now near Birendra Chowk.,Public Safety
The weather is very nice for everyone.,General
illegal racing is extremely scary near Birendra Chowk.,Public Safety
tax documents requested a bribe at city hall.,Administration
Report: The parade looks beautiful this morning.,General
theft in progress reported last night outside the mall.,Public Safety
blood pressure is dropping fast at the city hospital.,Healthcare
traffic signal is dangerous for cars on the main highway.,Infrastructure
tax documents is stuck for months at town hall.,Administration
bridge support is gushing water on the main highway.,Infrastructure
Urgent: illegal racing is a threat to life outside the mall.,Public Safety
The parade is very nice for everyone.,General
The parade is interesting in the park.,General
garbage pile is rotting and stinking near the park.,Sanitation
ambulance response is critical condition in the medical ward.,Healthcare
gang fighting is out of control near Birendra Chowk.,Public Safety
Urgent: cracked sidewalk is breaking apart on the main highway.,Infrastructure
Website layout is interesting in the park.,General
raw sewage is overflowing onto street in the residential alley.,Sanitation
bridge support is breaking apart in the downtown area.,Infrastructure
The parade looks beautiful in the park.,General
Report: tax documents requested a bribe on the government portal.,Administration
heart rate is dropping fast at the city hospital.,Healthcare
cracked sidewalk is gushing water in the downtown area.,Infrastructure
illegal dumping is overflowing onto street outside my house.,Sanitation
trash accumulation is leaking into drains behind the school.,Sanitation
clerk behavior is full of errors at town hall.,Administration
tax documents is stuck for months in the records office.,Administration
City gardens is very nice for everyone.,General
Report: garbage pile is rotting and stinking near the park.,Sanitation
cracked sidewalk is dangerous for cars near the square.,Infrastructure
tax documents is being delayed in the records office.,Administration
heart rate is critical condition at the city hospital.,Healthcare
medical emergency is dropping fast near the health clinic.,Healthcare
medical emergency needs a doctor immediately in the medical ward.,Healthcare
garbage pile is leaking into drains near the park.,Sanitation
clerk behavior is full of errors in the records office.,Administration
street lights needs urgent repair in the downtown area.,Infrastructure
ambulance response needs a doctor immediately in the medical ward.,Healthcare
raw sewage is leaking into drains behind the school.,Sanitation
Attention: The parade is a great event this morning.,General
Report: heart rate is dangerously low near the health clinic.,Healthcare
cracked sidewalk is gushing water at the intersection.,Infrastructure
Attention: clinic hygiene is critical condition at the ER.,Healthcare
The parade looks beautiful in the park.,General
Urgent: traffic signal needs urgent repair on the main highway.,Healthcare
passport processing is being delayed in the records office.,Administration
The parade is helpful in the park.,General
ambulance response is dropping fast at the ER.,Healthcare
blood pressure is critical condition in the medical ward.,Healthcare
illegal dumping is rotting and stinking near the park.,Sanitation
pothole on road needs urgent repair on the main highway.,Infrastructure
heart rate is out of stock in the medical ward.,Healthcare
Attention: gunshots fired happened just now outside the mall.,Public Safety
raw sewage is leaking into drains in the residential alley.,Sanitation
street lights is gushing water near the square.,Infrastructure
birth certificate is stuck for months at town hall.,Administration
Attention: recycling bin is leaking into drains outside my house.,Sanitation
medical emergency is dangerously low at the city hospital.,Healthcare
City gardens is very nice today.,General
cracked sidewalk is dangerous for cars on the main highway.,Infrastructure
garbage pile is rotting and stinking behind the school.,Sanitation
birth certificate is full of errors at town hall.,Administration
Report: theft in progress is extremely scary in the community park.,Public Safety
Attention: illegal racing is out of control outside the mall.,Public Safety
Report: ambulance response is critical condition near the health clinic.,Healthcare
Urgent: City gardens is a great event this morning.,General
traffic signal is breaking apart on the main highway.,Infrastructure
The parade is a great event today.,General
theft in progress happened just now outside the mall.,Public Safety
bridge support is breaking apart near the square.,Infrastructure
Report: Website layout is very nice today.,General
medical emergency is critical condition at the city hospital.,Healthcare
ambulance response is dropping fast at the city hospital.,Healthcare
passport processing requested a bribe at town hall.,Administration
Urgent: Community festival is helpful today.,General
recycling bin is leaking into drains outside my house.,Sanitation
dead animal carcass is overflowing onto street near the park.,Sanitation
tax documents requested a bribe on the government portal.,Administration
bridge support is gushing water in the downtown area.,Infrastructure
blood pressure is critical condition at the ER.,Healthcare
ambulance response is dropping fast at the city hospital.,Healthcare
gunshots fired reported last night in the community park.,Public Safety
dead animal carcass is rotting and stinking behind the school.,Sanitation
bridge support is crumbling near the square.,Infrastructure
Urgent: gunshots fired is out of control near Birendra Chowk.,Public Safety
Report: illegal dumping is rotting and stinking behind the school.,Sanitation
Report: medical emergency is critical condition near the health clinic.,Healthcare
Report: suspicious loitering reported last night near Birendra Chowk.,Public Safety
Urgent: City gardens looks beautiful today.,General
cracked sidewalk needs urgent repair near the square.,Infrastructure
clerk behavior is stuck for months in the records office.,Administration
City gardens is helpful in the park.,General
clerk behavior keeps crashing at city hall.,Administration
Urgent: ambulance response is dropping fast at the ER.,Healthcare
water pipe leak needs urgent repair near the square.,Infrastructure
insulin stock needs a doctor immediately in the medical ward.,Healthcare
Website layout looks beautiful for everyone.,General
clinic hygiene is critical condition at the ER.,Healthcare
trash accumulation is attracting rats behind the school.,Sanitation
water pipe leak is crumbling in the downtown area.,Infrastructure
The parade is helpful this morning.,General
garbage pile is attracting rats in the residential alley.,Sanitation
birth certificate keeps crashing on the government portal.,Administration
clinic hygiene is out of stock near the health clinic.,Healthcare
Report: dead animal carcass is rotting and stinking outside my house.,Sanitation
ambulance response is out of stock at the ER.,Healthcare
birth certificate is stuck for months in the records office.,Administration
blood pressure is dropping fast at the city hospital.,Healthcare
Report: suspicious loitering happened just now near Birendra Chowk.,Public Safety
water pipe leak is breaking apart on the main highway.,Infrastructure
Urgent: birth certificate keeps crashing in the records office.,Administration
gunshots fired is out of control outside the mall.,Public Safety
Attention: Community festival is very nice this morning.,General
garbage pile is attracting rats near the park.,Sanitation
medical emergency needs a doctor immediately near the health clinic.,Healthcare
raw sewage is overflowing onto street behind the school.,Sanitation
Attention: heart rate is critical condition near the health clinic.,Healthcare
Report: pothole on road is dangerous for cars on the main highway.,Infrastructure
Attention: traffic signal is dangerous for cars at the intersection.,Infrastructure
Website layout is a great event in the park.,General
birth certificate is stuck for months at town hall.,Administration
Urgent: birth certificate keeps crashing at town hall.,Administration
trash accumulation is leaking into drains near the park.,Sanitation
passport processing is being delayed in the records office.,Administration
The parade is interesting for everyone.,General
street lights is gushing water near the square.,Infrastructure
theft in progress reported last night outside the mall.,Public Safety
Report: dead animal carcass is overflowing onto street behind the school.,Sanitation
suspicious loitering reported last night in the community park.,Public Safety
Urgent: official website requested a bribe in the records office.,Administration
Attention: official website is stuck for months at city hall.,Administration
illegal dumping is overflowing onto street outside my house.,Sanitation
passport processing is stuck for months at town hall.,Administration
suspicious loitering happened just now at the train station.,Public Safety
medical emergency is critical condition at the ER.,Healthcare
Website layout is a great event today.,General
heart rate is out of stock at the ER.,Healthcare
blood pressure is dropping fast near the health clinic.,Healthcare
street lights is breaking apart near the square.,General
Community festival is very nice in the park.,General
suspicious loitering reported last night near Birendra Chowk.,Public Safety
insulin stock is out of stock at the city hospital.,Healthcare
Report: tax documents is stuck for months in the records office.,Administration
Community festival is helpful in the park.,General
Report: dead animal carcass is rotting and stinking in the residential alley.,Sanitation
traffic signal is crumbling on the main highway.,Infrastructure
dead animal carcass is overflowing onto street near the park.,Sanitation
garbage pile is leaking into drains behind the school.,Sanitation
passport processing is being delayed in the records office.,Administration
ambulance response is critical condition near the health clinic.,Healthcare
cracked sidewalk needs urgent repair near the square.,Infrastructure
ambulance response is dangerously low at the city hospital.,Healthcare
Urgent: City gardens looks beautiful in the park.,Infrastructure
gunshots fired happened just now outside the mall.,Public Safety
birth certificate keeps crashing at city hall.,Administration
passport processing is stuck for months in the records office.,Administration
official website is being delayed at town hall.,Administration
Attention: tax documents is stuck for months in the records office.,Administration
traffic signal is dangerous for cars in the downtown area.,Infrastructure
Attention: City gardens is a great event in the park.,General
Urgent: clerk behavior is full of errors at city hall.,Administration
dead animal carcass is attracting rats outside my house.,Sanitation
cracked sidewalk is gushing water on the main highway.,Infrastructure
Report: Community festival is a great event in the park.,General
insulin stock needs a doctor immediately in the medical ward.,Healthcare
Urgent: raw sewage is attracting rats outside my house.,Infrastructure
Attention: gang fighting reported last night in the community park.,Public Safety
Report: raw sewage is attracting rats behind the school.,Sanitation
Urgent: gang fighting is out of control near Birendra Chowk.,Public Safety
ambulance response is out of stock at the city hospital.,Healthcare
Urgent: gunshots fired is out of control near Birendra Chowk.,Public Safety
Attention: ambulance response is out of stock at the ER.,Healthcare
Report: raw sewage is leaking into drains in the residential alley.,Sanitation
Report: theft in progress is extremely scary at the train station.,Public Safety
cracked sidewalk needs urgent repair near the square.,Infrastructure
Attention: street lights is gushing water in the downtown area.,Infrastructure
City gardens looks beautiful in the park.,General
Urgent: raw sewage is overflowing onto street outside my house.,Sanitation
illegal racing is out of control at the train station.,Public Safety
Urgent: official website is full of errors at city hall.,Administration
Urgent: pothole on road is crumbling on the main highway.,Infrastructure
birth certificate is full of errors at town hall.,Administration
Urgent: passport processing is stuck for months on the government portal.,Administration
theft in progress reported last night at the train station.,Public Safety
bridge support is gushing water on the main highway.,Infrastructure
violent kidnapping is a threat to life at the train station.,Public Safety
ambulance response is dangerously low at the ER.,Healthcare
Report: bridge support needs urgent repair on the main highway.,Infrastructure
Community festival is very nice in the park.,General
Attention: garbage pile is leaking into drains outside my house.,Sanitation
medical emergency is critical condition at the ER.,Healthcare
clinic hygiene is dropping fast near the health clinic.,Healthcare
The parade is helpful today.,General
Urgent: traffic signal is dangerous for cars in the downtown area.,Infrastructure
tax documents is full of errors at city hall.,Administration
traffic signal is dangerous for cars on the main highway.,Infrastructure
tax documents is full of errors on the government portal.,Administration
The weather is a great event this morning.,General
Report: The weather is helpful today.,General
cracked sidewalk is gushing water in the downtown area.,Infrastructure
The weather is interesting today.,General
birth certificate is being delayed on the government portal.,Administration
Urgent: raw sewage is leaking into drains near the park.,Sanitation
violent kidnapping reported last night in the community park.,Public Safety
trash accumulation is overflowing onto street near the park.,Sanitation
street lights is gushing water at the intersection.,Infrastructure
Report: gunshots fired is extremely scary in the community park.,Public Safety
permit application requested a bribe at city hall.,Administration
official website is full of errors at city hall.,Administration
gunshots fired is a threat to life in the community park.,Public Safety
City gardens is helpful for everyone.,General
The parade is interesting this morning.,General
City gardens is a great event this morning.,General
Attention: permit application keeps crashing at city hall.,Administration
Website layout looks beautiful for everyone.,General
trash accumulation is overflowing onto street outside my house.,Sanitation
Urgent: traffic signal is gushing water near the square.,Infrastructure
traffic signal needs urgent repair in the downtown area.,Infrastructure
Urgent: clerk behavior is full of errors on the government portal.,Administration
tax documents keeps crashing at town hall.,Administration
water pipe leak is crumbling near the square.,Infrastructure
Urgent: City gardens is a great event this morning.,General
The parade looks beautiful today.,General
suspicious loitering is a threat to life at the train station.,Public Safety
ambulance response needs a doctor immediately at the city hospital.,Healthcare
blood pressure is out of stock near the health clinic.,Healthcare
permit application is stuck for months in the records office.,Administration
Urgent: official website is full of errors at city hall.,Administration
Attention: illegal dumping is attracting rats in the residential alley.,Sanitation
passport processing is stuck for months in the records office.,Administration
traffic signal is gushing water near the square.,Infrastructure
Urgent: illegal dumping is overflowing onto street in the residential alley.,Sanitation
gang fighting happened just now outside the mall.,Public Safety
Attention: The parade is helpful for everyone.,General
birth certificate keeps crashing on the government portal.,Administration
trash accumulation is overflowing onto street in the residential alley.,Sanitation
traffic signal is crumbling at the intersection.,Infrastructure
ambulance response is dangerously low at the ER.,Healthcare
blood pressure is dropping fast in the medical ward.,Healthcare
garbage pile is overflowing onto street outside my house.,Sanitation
Urgent: trash accumulation is rotting and stinking behind the school.,Sanitation
Attention: suspicious loitering is a threat to life outside the mall.,Public Safety
theft in progress reported last night in the community park.,Public Safety
recycling bin is attracting rats outside my house.,Sanitation
Urgent: medical emergency is dangerously low at the city hospital.,Healthcare
gang fighting happened just now at the train station.,Public Safety
The parade looks beautiful in the park.,General
passport processing is full of errors at city hall.,Administration
Attention: Website layout is very nice today.,General
suspicious loitering happened just now in the community park.,Public Safety
garbage pile is overflowing onto street in the residential alley.,Sanitation
water pipe leak is gushing water near the square.,Infrastructure
clerk behavior is being delayed at city hall.,Administration
